CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
GRASS,228.0,182.0,9,0.11111111,0.0,0.88888854,0.68853056,0.7777775,0.6554615,16.777779,14.555555,12.777778,23.0,-6.6666665,-12.0,18.666666,23.0,0.44435817,1.9164191
GRASS,80.0,203.0,9,0.0,0.0,1.3888887,0.74286735,1.9444443,1.5263122,12.407408,10.0,9.0,18.222221,-7.2222223,-10.222222,17.444445,18.222221,0.5144446,1.9867483
GRASS,184.0,197.0,9,0.0,0.0,3.0555553,3.2551951,4.5555553,2.7460418,11.962963,8.888889,9.555555,17.444445,-9.222222,-7.2222223,16.444445,17.444445,0.51518697,2.164262
GRASS,85.0,223.0,9,0.11111111,0.0,1.7777776,1.0470417,1.9444445,1.5116831,14.740741,12.666667,11.555555,20.0,-6.2222223,-9.555555,15.777778,20.0,0.42312294,1.9665359
GRASS,162.0,237.0,9,0.11111111,0.0,2.2777777,1.1434193,2.6666667,2.564718,13.222222,10.888889,10.0,18.777779,-7.0,-9.666667,16.666666,18.777779,0.47282594,1.9903806
GRASS,116.0,245.0,9,0.0,0.0,2.277778,1.1626909,2.2777777,1.496911,16.37037,13.555555,14.333333,21.222221,-8.444445,-6.111111,14.555555,21.222221,0.38490298,2.1980507
GRASS,44.0,187.0,9,0.0,0.0,1.4444448,0.3442649,0.8333335,1.0274024,15.222222,13.222222,12.777778,19.666668,-6.0,-7.3333335,13.333333,19.666668,0.35552603,2.038483
GRASS,215.0,219.0,9,0.0,0.0,2.5555556,2.2377238,3.2222223,2.491467,13.222222,10.333334,10.222222,19.11111,-8.666667,-9.0,17.666666,19.11111,0.49459508,2.0861003
GRASS,200.0,250.0,9,0.0,0.0,2.2777777,1.420746,1.4444445,1.0255988,9.222222,6.5555553,7.3333335,13.777778,-8.0,-5.6666665,13.666667,13.777778,0.5633903,2.1929355
GRASS,114.0,238.0,9,0.0,0.0,1.666667,1.1352924,1.4444445,1.0680548,13.62963,11.111111,10.666667,19.11111,-7.5555553,-8.888889,16.444445,19.11111,0.46145898,2.0466826
